id;deleted;insert_by;insert_date;edit_by;edit_date;name;description;date
1;true;graffiti scowl;2024-12-16T06:40:10;sheepishly convalesce yahoo;2024-12-16T08:39:57;kowtow ha that;ring reorganisation bah;2024-12-16T13:45:16
2;true;than loose;2024-12-16T20:22:16;splurge as;2024-12-16T20:59:59;customise mature finally;upsell rigid misreport;2024-12-16T01:51:19
3;true;upon despite apud;2024-12-16T02:26:59;chilly obtrude until;2024-12-16T08:25:25;demobilise for best-seller;inwardly complicated appliance;2024-12-16T17:43:48
4;false;curiously dream;2024-12-16T06:01:56;across;2024-12-16T19:49:55;chasuble well wallaby;nervously rosin;2024-12-16T10:28:20
5;false;provision outrageous;2024-12-16T14:56:26;meanwhile while;2024-12-16T09:22:47;once mmm;institute;2024-12-16T19:52:38
6;false;license;2024-12-16T02:53:03;finally cake;2024-12-16T07:27:56;indeed;ah microchip;2024-12-16T01:49:16
7;false;solemnly submitter;2024-12-16T12:13:10;filter healthily;2024-12-16T17:48:08;detain metal;certify helpless why;2024-12-16T18:36:35
8;false;since ugh;2024-12-16T23:30:56;hence neatly;2024-12-16T04:34:30;thoughtfully fervently ravel;lace same gadzooks;2024-12-16T16:57:31
9;false;boo in;2024-12-16T12:11:39;chime requirement;2024-12-16T15:05:26;in and;tensely artistic;2024-12-16T03:28:07
10;true;woot;2024-12-16T06:28:16;disposer geez;2024-12-16T16:13:02;boohoo;cantaloupe vivaciously;2024-12-17T00:00:47
