id;deleted;insert_by;insert_date;edit_by;edit_date;order_number;album_id;track_id
1;false;adventurously but;2024-12-16T09:53:51;geez promptly;2024-12-16T12:54:58;1361;1;1
2;true;huzzah wealthy coolly;2024-12-16T12:45:25;so recede beautifully;2024-12-16T15:23:42;13589;2;2
3;false;likewise destock quaff;2024-12-16T14:20:45;pish yippee;2024-12-16T11:02:54;27033;3;3
4;true;classic second;2024-12-16T14:44:19;scientific gummy lively;2024-12-16T19:00:49;6118;4;4
5;false;promptly oval castanet;2024-12-16T18:12:47;experienced;2024-12-16T08:35:35;30176;5;5
6;true;outlaw amend fond;2024-12-16T17:26:06;psst before;2024-12-16T14:03:52;936;6;6
7;false;aha toward joshingly;2024-12-16T13:42:13;truthfully countess inasmuch;2024-12-16T04:34:13;14641;7;7
8;true;uneven presell;2024-12-16T07:47:58;clonk restfully;2024-12-16T15:12:13;26338;8;8
9;true;than;2024-12-16T09:55:42;riser around;2024-12-16T04:25:16;32353;9;9
10;false;nervous thorny;2024-12-16T20:22:13;gladly;2024-12-16T20:08:51;6802;10;10
