id;deleted;insert_by;insert_date;edit_by;edit_date;name;description
1;false;huzzah;2024-12-16T02:11:57;when;2024-12-16T20:35:51;amongst;oof how
2;false;behind;2024-12-16T06:34:34;kiddingly;2024-12-16T16:11:19;modulo;duh
3;true;when fatal mmm;2024-12-16T13:44:49;urgently disk roadway;2024-12-16T01:14:38;gasp;gadzooks
4;false;ha;2024-12-16T14:16:03;rudely rewarding gee;2024-12-16T20:49:02;save meh;alligator coaxingly hmph
5;false;however ah;2024-12-16T10:49:09;desecrate yearn;2024-12-16T22:40:31;lest admonish past;cute yet tremendously
6;true;athwart motor;2024-12-16T22:36:12;amid;2024-12-16T02:31:00;sturdy;incidentally
7;false;pomelo director wherever;2024-12-16T07:25:37;consequently or sequester;2024-12-16T13:55:44;dearly;concerning widow
8;false;queasily the;2024-12-16T22:13:01;minister;2024-12-16T03:23:56;crystallize a;whether seldom wetly
9;true;boohoo;2024-12-16T23:26:06;bell to;2024-12-16T11:01:38;because apropos joyfully;yahoo sailor terribly
10;false;nor what eek;2024-12-16T13:07:38;under ack fundraising;2024-12-16T14:39:42;tensely;why yowza
