id;deleted;insert_by;insert_date;edit_by;edit_date;name;description
1;true;anneal;2024-12-16T20:18:39;hm daily;2024-12-16T09:46:54;yippee fraudster blissfully;carelessly midst forager
2;true;arid;2024-12-16T06:56:23;fray;2024-12-16T04:59:53;physically who;following kiddingly shanghai
3;true;or impolite hmph;2024-12-16T07:32:06;schlep tremendously feminize;2024-12-16T13:54:38;correctly whale;monocle along yippee
4;true;under splash apud;2024-12-16T13:10:47;brr atop quantify;2024-12-16T05:38:05;under rival;concerned boohoo out
5;true;anenst saloon;2024-12-16T02:05:32;lifestyle eek;2024-12-16T08:46:28;which sympathetically;colon
6;false;whether;2024-12-16T02:13:13;dramatize;2024-12-16T17:16:58;bah yearly;swerve aw silent
7;true;gosh forgery;2024-12-16T18:49:36;surge fooey around;2024-12-16T14:42:20;terrible;concrete around defiantly
8;true;why;2024-12-16T23:55:38;lazily indelible;2024-12-16T05:56:15;always;now whoa
9;true;slide;2024-12-16T21:10:42;yahoo;2024-12-16T15:42:30;drat gosh;moor for sashay
10;true;runny provided;2024-12-16T07:36:07;defendant while physically;2024-12-16T23:40:14;knowledgeable but;equate
