id;deleted;insert_by;insert_date;edit_by;edit_date;user_id;key;value
1;false;haircut toward wherever;2024-12-19T12:38:43;boggle who shrilly;2024-12-19T17:05:17;yahoo;when glow;where
2;true;mmm who unless;2024-12-19T15:41:37;supposing after broadly;2024-12-19T16:40:45;vastly;terribly;dimly phooey frightfully
3;false;where aside;2024-12-19T10:45:34;dish;2024-12-19T10:14:04;carouse;outside;incidentally remark
4;false;bah ecstatic weakly;2024-12-19T14:28:49;atomize;2024-12-19T17:44:34;aboard availability yet;haze;kindly developmental premeditation
5;false;across snoopy oh;2024-12-19T01:49:47;duh;2024-12-19T14:54:14;duffel ah save;narrowcast unless;notwithstanding stoop
6;true;wonderfully cuddly;2024-12-19T06:08:24;ascertain immediately object;2024-12-18T23:39:02;really;gerbil now if;the duster
7;false;hence shaft;2024-12-19T19:33:38;duh below cruel;2024-12-19T03:49:20;gee;certification mainstream;putrid
8;false;before;2024-12-19T04:33:02;import eek tributary;2024-12-19T00:55:18;unhappy ugh;how;noon brook abacus
9;false;uh-huh before frenetically;2024-12-19T02:09:31;pace obvious;2024-12-19T07:11:42;whole;frizz strict;of pure what
10;false;repentant optimal unfortunate;2024-12-19T08:18:47;knotty zowie saturate;2024-12-19T00:05:00;of yippee;whenever hm unsung;forgo cork put
